ID,Locality,Assemblage,GeoLayer.Name,Country,Locality.Type,X,Y,Technocomplex,Geostrat..Info..age.min,Geostrat..Info..age.max,Geostrat..Info..correlation,Geostrat..Info..mis,NISP.Sum.class.Mammalia,NISP.Sum.order.Rodentia,NISP.Sum.family.Anatidae,Alces_NISP,Bison_NISP,Bos_NISP,Canis_NISP,Capra_NISP,Capreolus_NISP,Cervus_NISP,Coelodonta_NISP,Dama_NISP,Equus_NISP,Mammuthus_NISP,Megaloceros_NISP,Ovibos_NISP,Ovis_NISP,Palaeoloxodon_NISP,Rangifer_NISP,Saiga_NISP,Stephanorhinus_NISP,Sus_NISP,Ursus_NISP,Panthera_NISP,meanage,sdage,totalNISP,millie,RD_Suitability
8163,Nesher Ramla,"Nesher Ramla, Unit II, Fauna",unit II,Israel,open air,34.927,31.916,MP/ Mousterian - Levant,135000,279000,OSL (optically stimulated thermoluminescence) dating,NA,123,0,NA,0,0,0.39837,0,0.00813,0,0,0,0.39024,0.06504,0,0,0,0,0,0,0,0,0,0,0,116248,0.799045316,123,116000,NA
8165,Nesher Ramla,"Nesher Ramla, micromammals",unit I,Israel,open air,34.927,31.916,MP/ Mousterian - Levant,76000,207000,OSL (optically stimulated thermoluminescence) dating,NA,403,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78420,0.947430265,0,78000,NA
8170,Neumark-Nord 1,NN1 layer 2 micromammals,layer 2,Germany,open air,11.898889,51.324444,,116000,130000,"fauna, geology (based on position of layers)",5e,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140504,0.999999325,0,141000,NA
8173,Neumark-Nord 1,NN1 layer 6.1 micromammals,layer 6.1,Germany,open air,11.898889,51.324444,MP/ Middle Paleolithic - Eurasia,116000,130000,"fauna, geology (based on position of layers), macrobotanical remains, palynology",5e,61,58,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132000,0.999999993,3,132000,NA
8303,Ohalo II,"Ohalo II, Fauna",Middle Unit,Israel,open air,35.5717333,32.71975,UP/ Upper Paleolithic - Levant,15420,21525,14C (radiocarbon) dating,NA,2737,0,NA,0,0,0.00073,0.00073,0.00146,0,0.00402,0,0.1509,0,0,0,0,0,0,0,0,0,0.00694,0,0,23414,0.909090909,2737,23000,NA
8305,Ohalo II,"Ohalo II, micromammals",Middle Unit,Israel,open air,35.5717333,32.71975,UP/ Upper Paleolithic - Levant,15420,21525,14C (radiocarbon) dating,NA,261,258,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23414,0.909090909,3,23000,NA
8350,Paglicci,Paglicci Layer 19b Fauna,Layer 19b,Italy,cave,15.5533,41.6904,UP/ Gravettian,20730,21250,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,321,0,NA,0,0,0.04984,0,0.25857,0,0.04673,0,0,0.62305,0,0,0,0,0,0,0,0,0.02181,0,0,25027,1,321,25000,0.385654986
8351,Paglicci,Paglicci Layer 20a Fauna,Layer 20,Italy,cave,15.5533,41.6904,UP/ Gravettian,21250,23040,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,324,0,NA,0,0,0.09259,0,0.2963,0,0.08642,0,0,0.5216,0,0,0,0,0,0,0,0,0.00309,0,0,26368,1,324,26000,0.372963965
8352,Paglicci,Paglicci Layer 20b Fauna,Layer 20,Italy,cave,15.5533,41.6904,UP/ Gravettian,21250,23040,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,679,0,NA,0,0,0.1944,0,0.20029,0,0.05744,0,0,0.54786,0,0,0,0,0,0,0,0,0,0,0,26368,1,679,26000,0.372963965
8353,Paglicci,Paglicci Layer 20c Fauna,Layer 20,Italy,cave,15.5533,41.6904,UP/ Gravettian,21250,23040,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,396,0,NA,0,0,0.18939,0,0.49242,0,0.05051,0,0,0.2601,0,0,0,0,0,0,0,0,0.00758,0,0,26368,1,396,26000,0.372963965
